time,susceptible,exposed,infected,recovered,asymptomatic,new_exposed,new_infected,new_recovered,new_asymptomatic,deaths
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9999804,1.9588999999999998e-05,0.0,0.0,0.0,1.9588999999999998e-05,0.0,0.0,0.0,0.0
2,0.9999621333333334,3.786233333333333e-05,5.333333333333333e-09,0.0,8.333333333333334e-09,1.8287000000000003e-05,5.333333333333333e-09,0.0,8.333333333333334e-09,0.0
3,0.9999450333333333,5.428966666666666e-05,2.78e-07,9.999999999999999e-10,4.1700000000000004e-07,1.7109333333333332e-05,2.7299999999999997e-07,9.999999999999999e-10,4.093333333333333e-07,0.0
4,0.9999284333333333,6.792166666666666e-05,1.4439999999999999e-06,4.966666666666666e-08,2.1663333333333333e-06,1.6596333333333332e-05,1.1856666666666667e-06,4.8666666666666666e-08,1.7786666666666666e-06,3.333333333333333e-10
5,0.9999104999999999,8.016466666666667e-05,3.619666666666667e-06,3.023333333333333e-07,5.432666666666666e-06,1.7939333333333333e-05,2.278666666666667e-06,2.526666666666667e-07,3.418e-06,2.3333333333333335e-09
6,0.9998891666666666,9.377866666666666e-05,6.4436666666666656e-06,9.359999999999999e-07,9.677333333333333e-06,2.1320999999999998e-05,3.083e-06,6.336666666666667e-07,4.624666666666667e-06,7.666666666666666e-09
7,0.9998631666666665,0.00011082066666666667,9.567666666666668e-06,2.0643333333333333e-06,1.4377333333333334e-05,2.6003333333333332e-05,3.585e-06,1.1283333333333335e-06,5.3773333333333336e-06,1.7666666666666666e-08
8,0.9998331666666667,0.00013083399999999997,1.2861e-05,3.7406666666666666e-06,1.9337666666666666e-05,2.9956666666666667e-05,3.978e-06,1.6763333333333333e-06,5.966333333333333e-06,3.1999999999999995e-08
9,0.9997993000000001,0.000153614,1.6396666666666665e-05,5.9936666666666665e-06,2.4668333333333332e-05,3.391866666666667e-05,4.455333333333333e-06,2.253e-06,6.683e-06,5.1e-08
10,0.9997606000000001,0.00017954433333333336,2.0332333333333335e-05,8.868333333333333e-06,3.0608e-05,3.8704999999999996e-05,5.109666666666666e-06,2.8746666666666668e-06,7.664666666666666e-06,7.533333333333333e-08
